Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Fecha de recepcion,Fecha de respuesta,Fecha de vencimiento,Fecha de entrega,PROYECTO,Prefactibilidad,Estado del proyecto,Portafolio,Power (MW),Codigo,Status,Version,Código Infra
65af92fc4a796c1beb406645,Separatas adicionales proyectos PERTEs,https://trello.com/c/vF7t7ei7/247-separatas-adicionales-proyectos-pertes,,,,2023-12-28T11:00:00.000Z,7,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231124%5FLlana%5FSeparatas%5FPERTEs%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af92fc4a796c1beb406645/attachments/65af933ba56c2569eb86f700/download/image.png, https://trello.com/c/QHhfEyfA/138-fragonia-siero, https://trello.com/c/7ZdZiw9J/98-tuya-corredoria-1, https://trello.com/c/yJLD14JE/151-mejorana-alimerka, https://trello.com/c/sGlcFMTR/250-galbano-sanguel, https://trello.com/c/TH5LhzND/252-galbano-sanmi",0,0,0,0,2024-01-23T10:52:08.673Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-11-27T11:00:00.000Z,2023-12-28T11:00:00.000Z,2023-12-28T11:00:00.000Z,,,,,,,,,
65af918e952e54343d99a052,CIRENE BETXI,https://trello.com/c/GbSTLWyQ/241-cirene-betxi,,,,,2,"https://trello.com/1/cards/65af918e952e54343d99a052/attachments/65af91fd34522a7554193217/download/CIRENEBETXI.png, https://trello.com/c/YQ36cEYK",0,0,0,0,2024-01-23T10:52:08.665Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,,
65af922653a9a6cded357766,Bechi y Vall d'Uxo 220 kV Anteproyectos,https://trello.com/c/YQ36cEYK/243-bechi-y-vall-duxo-220-kv-anteproyectos,,,,2023-10-27T10:00:00.000Z,5,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F2023%2E10%2E05%20MB%20ARYA%20UIXO%2Epdf&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F2023%2E10%2E05%20MB%20CIRENE%20BECHI%2Epdf&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af922653a9a6cded357766/attachments/65af92694d2a6fdf922838a5/download/image.png, https://trello.com/c/GbSTLWyQ/241-cirene-betxi, https://trello.com/c/BDmxREan/237-arya-uixo",0,0,0,0,2024-01-23T13:13:17.108Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-10-06T10:00:00.000Z,2023-10-27T10:00:00.000Z,2023-12-29T11:00:00.000Z,,,,,,BE-Pendiente,,,
65af8ffd58435a226941c287,ARYA UIXO,https://trello.com/c/BDmxREan/237-arya-uixo,,,,,3,"https://trello.com/1/cards/65af8ffd58435a226941c287/attachments/65af902ef38ea4cfcad63ed7/download/ARYAUIXO.png, https://trello.com/c/M9NTnDwf/238-bechi-y-vall-dux%C3%B3-220-kv-memorias-b%C3%A1sicas, https://trello.com/c/YQ36cEYK",0,0,0,0,2024-01-23T10:52:08.649Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,,
65af904df821b615f15dddf2,Bechi y Vall d'Uxo 220 kV Memorias Basicas,https://trello.com/c/M9NTnDwf/238-bechi-y-vall-duxo-220-kv-memorias-basicas,,,,2023-10-03T07:45:00.000Z,2,"https://ricenergyes.sharepoint.com/:x:/r/sites/CoordinacinIngeniera/_layouts/15/Doc.aspx?sourcedoc=%7BBCF5FA70-975A-42C2-AC08-AE9AE8852D2A%7D&file=231003_0020_PFV_PR.xlsx&action=default&mobileredirect=true, https://trello.com/c/BDmxREan/237-arya-uixo",0,0,0,0,2024-01-24T10:59:51.437Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,2023-10-03T10:00:00.000Z,2023-10-05T10:00:00.000Z,,2023-10-13T10:00:00.000Z,,,,,,BE-Pendiente,,,
65af8b4cb3290703dc678730,Prefactibilidad Javea 3,https://trello.com/c/rbQvcofd/226-prefactibilidad-javea-3,,,,2023-10-26T10:00:00.000Z,3,"https://trello.com/1/cards/65af8b4cb3290703dc678730/attachments/65af8b92aff481a51d29d839/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FTerreno%20Pendiente%20Prefactibilidad%20132%2E%20Javea%203%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/dxAuAy0O/225-boston-javea-3",0,0,0,0,2024-01-23T10:52:08.637Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-10-16T10:00:00.000Z,2023-10-26T10:00:00.000Z,2023-10-26T10:00:00.000Z,,,,,,BE-Eliminada,Finalizada,,
65af8b0952730216bb513560,BOSTON JAVEA 3,https://trello.com/c/dxAuAy0O/225-boston-javea-3,,,,,2,"https://trello.com/1/cards/65af8b0952730216bb513560/attachments/65af8b3b9b05df071f001040/download/BOSTONJAVEA.png, https://trello.com/c/rbQvcofd/226-prefactibilidad-javea-3",0,0,0,0,2024-01-23T10:52:08.616Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Eliminado,,,BE-Eliminado,,,
65af87fc5ccc3c7d2d0884df,HULE PLANA 1,https://trello.com/c/mtbqvmln/220-hule-plana-1,,,,,1,https://trello.com/1/cards/65af87fc5ccc3c7d2d0884df/attachments/65af880d535a87d8e6f7023f/download/HULEPLANA_(2).png,0,0,0,0,2024-01-23T10:52:08.612Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,,
65af8830ec7f46d839867d22,Anteproyecto Hule Plana 1,https://trello.com/c/c8lvDT5L/221-anteproyecto-hule-plana-1,,,,2023-11-15T08:45:00.000Z,3,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231108%5FZazo%5FAnteproyecto%5FHule1%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af8830ec7f46d839867d22/attachments/65af8869216648ae2e5308e4/download/image.png, https://trello.com/c/mtbqvmln/220-hule-plana-1",0,0,0,0,2024-01-23T10:52:08.609Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-11-08T11:00:00.000Z,2023-11-15T11:00:00.000Z,,,,,,,BE-Pendiente,,,
65af79ff600b125c8b5b0438,HULE PLANA 2,https://trello.com/c/9obnCyf0/192-hule-plana-2,,,,,3,"https://trello.com/1/cards/65af79ff600b125c8b5b0438/attachments/65af7a0aaf6004f4bf146899/download/HULEPLANA.png, https://trello.com/c/ocs1Xguq, https://trello.com/c/6j24Qh25/520-revision-propuestas-previas-12",0,0,0,0,2024-01-24T09:59:54.968Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,,
