Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Fecha de recepcion,Fecha de respuesta,Fecha de vencimiento,Fecha de entrega,PROYECTO,Prefactibilidad,Estado del proyecto,Portafolio,Power (MW),Codigo,Status,Version
65af7688e7340d6aeebdeb01,RODAS FRANQUESES,https://trello.com/c/1eDANfoS/180-rodas-franqueses,,,,,2,"https://trello.com/1/cards/65af7688e7340d6aeebdeb01/attachments/65af768f723a36d6a34ecfeb/download/RODASFRANQUESES.png, https://trello.com/c/XiWPHoRY",0,0,0,0,2024-01-23T08:22:39.563Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Eliminado,,,BE-Pendiente,,
65af772b6d749e863487ca8a,Contrapropuesta Franqueses,https://trello.com/c/XiWPHoRY/183-contrapropuesta-franqueses,,,,2023-12-29T11:00:00.000Z,3,"https://trello.com/1/cards/65af772b6d749e863487ca8a/attachments/65af772b6d749e863487cb62/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231221%5FGuille%5FContraprop%5FFranqueses%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/1eDANfoS/180-rodas-franqueses",0,0,0,0,2024-01-23T08:39:32.105Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-12-21T11:00:00.000Z,2023-12-29T11:00:00.000Z,,,,,,,BE-Pendiente,Finalizada,
65af75d3cc6466d3be185e71,NARSIL PALAU 1,https://trello.com/c/J8s6M6er/179-narsil-palau-1,,,,,2,"https://trello.com/1/cards/65af75d3cc6466d3be185e71/attachments/65af75e63836663467a98d39/download/NARSILPALAU.png, https://trello.com/c/4idwFmPM/177-contrapropuestas-palau-y-caldes",0,0,0,0,2024-01-23T08:17:06.790Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,
65af75143e1c3aec11eb8ff7,LAUREL CALDES 2,https://trello.com/c/VfpCuOUA/178-laurel-caldes-2,,,,,2,"https://trello.com/c/4idwFmPM, https://trello.com/1/cards/65af75143e1c3aec11eb8ff7/attachments/65af762b8c650ad89770f2bd/download/LAURELCALDES_(1).png",0,0,0,0,2024-01-23T08:17:54.048Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,
65af7447613aa6ccaf94ae6d,LAUREL CALDES 1,https://trello.com/c/ZjIpOOMf/175-laurel-caldes-1,,,,,2,"https://trello.com/1/cards/65af7447613aa6ccaf94ae6d/attachments/65af746ea566323a7487e7f3/download/LAURELCALDES.png, https://trello.com/c/4idwFmPM",0,0,0,0,2024-01-23T08:16:19.339Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,
65af749a4ae622eca5a0cfa4,Contrapropuestas Palau y Caldes,https://trello.com/c/4idwFmPM/177-contrapropuestas-palau-y-caldes,,,,2023-12-29T11:00:00.000Z,4,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231221%5FGuille%5FContrapropuestasCaldesPalau%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af749a4ae622eca5a0cfa4/attachments/65af74f2234a2b7a4cdce9e1/download/image.png, https://trello.com/c/ZjIpOOMf/175-laurel-caldes-1, https://trello.com/c/J8s6M6er",0,0,0,0,2024-01-23T08:39:46.968Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-12-21T11:00:00.000Z,2023-12-29T11:00:00.000Z,,,,,,,BE-Pendiente,Finalizada,
65af7181c1b25acdaeda7434,VELA SILLA 1,https://trello.com/c/FB7rOvRJ/166-vela-silla-1,,,,,2,"https://trello.com/1/cards/65af7181c1b25acdaeda7434/attachments/65af71a5679dc424e64c02b3/download/VELASILLA.png, https://trello.com/c/cjLweqVx/167-actualizar-solicitud-doc-para-i-de-vela-silla-1",0,0,0,0,2024-01-23T08:16:19.532Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,,,Oportunidad,,,BE-Pendiente,,
65af71d9af59a9df3c1b5fc0,Actualizar Solicitud Doc para i-DE VELA SILLA 1,https://trello.com/c/cjLweqVx/167-actualizar-solicitud-doc-para-i-de-vela-silla-1,,,,2024-01-09T11:00:00.000Z,4,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F240108%5FFelipe%5FEntrega%5FVelaSilla%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231227%5FGuille%5FAct%5FAyC%5FVelaSilla1%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af71d9af59a9df3c1b5fc0/attachments/65af720a0a47925ab06b37e6/download/image.png, https://trello.com/c/FB7rOvRJ/166-vela-silla-1",0,0,0,0,2024-01-23T08:40:06.456Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-12-27T11:00:00.000Z,2024-01-09T11:00:00.000Z,,,,,,,BE-Pendiente,Finalizada,
65af6f5f1ecae4382ba7f6af,ESPLIEGO AMBROSERO 1,https://trello.com/c/tR1xbOYE/158-espliego-ambrosero-1,,,,,2,"https://trello.com/1/cards/65af6f5f1ecae4382ba7f6af/attachments/65af6f6eaf93510fc76a9751/download/ESPLIEGOAMBROSERO.png, https://trello.com/c/2EvsaKfT",0,0,0,0,2024-01-23T08:16:19.516Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Eliminado/Aval,,,BE--,,
65af6f95d7ac8a8907ddffe5,L55 kV Espliego - Ambrosero,https://trello.com/c/2EvsaKfT/159-l55-kv-espliego-ambrosero,,,,2023-10-16T10:00:00.000Z,4,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FNoticias%20VIESGO%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/:x:/r/sites/CoordinacinIngeniera/_layouts/15/Doc.aspx?sourcedoc=%7B19E964DC-AB19-40E2-B81C-69804C2570FB%7D&file=230925_0013_PFV_LT.xlsx&action=default&mobileredirect=true, https://trello.com/1/cards/65af6f95d7ac8a8907ddffe5/attachments/65af6feaa1c0bcc99a8f40f8/download/image.png, https://trello.com/c/tR1xbOYE/158-espliego-ambrosero-1",0,0,0,0,2024-01-23T08:40:41.493Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-09-25T10:00:00.000Z,2023-10-16T10:00:00.000Z,,,,,,,BE--,Finalizada,
65af6be3472c18c4af399df3,MEJORANA ALIMERKA,https://trello.com/c/yJLD14JE/151-mejorana-alimerka,,,,,2,"https://trello.com/1/cards/65af6be3472c18c4af399df3/attachments/65af6c0b5bf97f33cea300ae/download/MEJORANAALIMERKA.png, https://trello.com/c/flxn0Yrz",0,0,0,0,2024-01-23T08:16:19.515Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,
65af6c65662436ecd44f4e90,L50 kV Mejorana - Alimerka,https://trello.com/c/flxn0Yrz/152-l50-kv-mejorana-alimerka,,,,2023-10-18T07:45:00.000Z,3,"https://ricenergyes.sharepoint.com/:x:/r/sites/CoordinacinIngeniera/_layouts/15/Doc.aspx?sourcedoc=%7BBA9DA746-4C74-46A7-A146-9EA0BCE48621%7D&file=230925_0015_PFV_LT.xlsx&action=default&mobileredirect=true, https://trello.com/1/cards/65af6c65662436ecd44f4e90/attachments/65af6caa9c40c1f305798d3b/download/image.png, https://trello.com/c/yJLD14JE/151-mejorana-alimerka",0,0,0,0,2024-01-23T09:29:58.988Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-09-25T10:00:00.000Z,2023-10-18T10:00:00.000Z,,,,,,,BE-Pendiente,Anulada,
